"","station","county","height","latitude","longitude"
"1","ATHENRY","Galway",40,53.289,-8.786
"2","BALLYHAISE","Cavan",78,54.051,-7.31
"3","BELMULLET","Mayo",9,54.228,-10.007
"4","CASEMENT","Dublin",91,53.306,-6.439
"5","CLAREMORRIS","Mayo",68,53.711,-8.993
"6","CORK AIRPORT","Cork",155,51.847,-8.486
"7","DUBLIN AIRPORT","Dublin",71,53.428,-6.241
"8","DUNSANY","Meath",83,53.516,-6.66
"9","FINNER","Donegal",33,54.494,-8.243
"10","GURTEEN","Tipperary",75,53.053,-8.009
"11","JOHNSTOWNII","Wexford",62,52.298,-6.497
"12","KNOCK AIRPORT","Mayo",201,53.906,-8.817
"13","MACE HEAD","Galway",21,53.326,-9.901
"14","MALIN HEAD","Donegal",20,55.372,-7.339
"15","MARKREE","Sligo",34,54.175,-8.456
"16","MOORE PARK","Cork",46,52.164,-8.264
"17","MT DILLON","Roscommon",39,53.727,-7.981
"18","MULLINGAR","Westmeath",101,53.537,-7.362
"19","NEWPORT","Mayo",22,53.922,-9.572
"20","OAK PARK","Carlow",62,52.861,-6.915
"21","PHOENIX PARK","Dublin",48,53.364,-6.35
"22","ROCHES POINT","Cork",40,51.793,-8.244
"23","SHANNON AIRPORT","Clare",15,52.69,-8.918
"24","SherkinIsland","Cork",21,51.476,-9.428
"25","VALENTIA OBSERVATORY","Kerry",24,51.938,-10.241
